"table_name","column_name","type","size","description"
"myersrecruitmentdatabase","tmRef","Long Integer","4.000000",NA
"myersrecruitmentdatabase","agemat","Text","255.000000",NA
"myersrecruitmentdatabase","agematm","Text","255.000000",NA
"myersrecruitmentdatabase","agematf","Text","255.000000",NA
"myersrecruitmentdatabase","lenrec","Text","255.000000","Length at recruitment in cm."
"myersrecruitmentdatabase","agerec","Text","255.000000","Age at recruitment in years for females and males."
"myersrecruitmentdatabase","agerecm","Text","255.000000","Age at recruitment in years for males."
"myersrecruitmentdatabase","agerecf","Text","255.000000","Age at recruitment in years for females."
"myersrecruitmentdatabase","Loo","Single","4.000000",NA
"myersrecruitmentdatabase","K","Single","4.000000",NA
"myersrecruitmentdatabase","LengthType","Text","10.000000",NA
"myersrecruitmentdatabase","GrowthRef","Long Integer","4.000000",NA
"myersrecruitmentdatabase","sourcegro","Text","255.000000",NA
"myersrecruitmentdatabase","linfin","Text","255.000000",NA
"myersrecruitmentdatabase","kram","Text","255.000000",NA
"myersrecruitmentdatabase","to","Text","255.000000",NA
"myersrecruitmentdatabase","linfinm","Text","255.000000",NA
"myersrecruitmentdatabase","kM","Text","255.000000",NA
"myersrecruitmentdatabase","toM","Text","255.000000",NA
"myersrecruitmentdatabase","linfinf","Text","255.000000",NA
"myersrecruitmentdatabase","kF","Text","255.000000",NA
"myersrecruitmentdatabase","toF","Text","255.000000",NA
"myersrecruitmentdatabase","sourceab","Text","255.000000",NA
"myersrecruitmentdatabase","altwtpar","Text","255.000000",NA
"myersrecruitmentdatabase","bltwtpar","Text","255.000000",NA
"myersrecruitmentdatabase","altwtparm","Text","255.000000",NA
"myersrecruitmentdatabase","bltwtparm","Text","255.000000",NA
"myersrecruitmentdatabase","altwtparf","Text","255.000000",NA
"myersrecruitmentdatabase","bltwtparf","Text","255.000000",NA
"myersrecruitmentdatabase","entered","Integer","2.000000","Code number of person who entered the data"
"myersrecruitmentdatabase","dateentered","Date/Time","8.000000","Date when record was first entered"
"myersrecruitmentdatabase","modified","Integer","2.000000","Code number of person who last modified the data"
"myersrecruitmentdatabase","datemodified","Date/Time","8.000000","Date of last modification of record"
"myersrecruitmentdatabase","expert","Integer","2.000000","Code number of person who checked the data"
"myersrecruitmentdatabase","datechecked","Date/Time","8.000000","Date when the data was checked"
